scenario_id,method_a,method_b,n_replicates,SHD_mean_diff,SHD_ci95_lo,SHD_ci95_hi,SHD_cohens_d,SHD_p_value,F1_mean_diff,F1_ci95_lo,F1_ci95_hi,F1_cohens_d,F1_p_value,Dir_F1_excluded_reason,n_oriented_excluded_reason,communication_bytes_mean_diff,communication_bytes_ci95_lo,communication_bytes_ci95_hi,communication_bytes_cohens_d,communication_bytes_p_value,runtime_sum_mean_diff,runtime_sum_ci95_lo,runtime_sum_ci95_hi,runtime_sum_cohens_d,runtime_sum_p_value,runtime_parallel_est_mean_diff,runtime_parallel_est_ci95_lo,runtime_parallel_est_ci95_hi,runtime_parallel_est_cohens_d,runtime_parallel_est_p_value,SHD_p_value_bh,F1_p_value_bh,communication_bytes_p_value_bh,runtime_sum_p_value_bh,runtime_parallel_est_p_value_bh
K10_b550ff96e0,naive,fedpc_consensus,15,-0.26666666666666666,-0.6563802095773655,0.12304687624403221,-0.37893237337253677,0.16431789846959996,0.0003398426867772142,-0.004297060642935685,0.004976746016490113,0.04058713188325362,0.8773370416528093,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.005624961853027344,0.005159930689667007,0.00608999301638768,6.698475912243498,3.083476262017352e-13,0.005624961853027314,0.005159930689667484,0.006089993016387144,6.698475912250751,3.0834762619715025e-13,0.16431789846959996,0.8773370416528093,,3.0834762620173518e-12,3.0834762619715026e-12
K2_1a1f959921,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0024959087371823805,0.002130200168679994,0.002861617305684767,3.779479911399714,7.029220574749983e-10,0.002495908737182558,0.0021302001686802287,0.002861617305684887,3.779479911400575,7.029220574728895e-10,,,,8.786525718437479e-10,8.786525718411119e-10
N100_4b32254537,naive,fedpc_consensus,15,-0.26666666666666666,-0.595400715257046,0.06206738192371258,-0.44922355437109696,0.10381410752694953,0.009971507073634596,-0.002711215622064037,0.022654229769333227,0.4353983518722603,0.11388688024798131,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0029429594675698684,0.0025962407619272315,0.0032896781732125054,4.700515444335123,3.8318794667403774e-11,0.00294295946756995,0.0025962407619272874,0.0032896781732126125,4.700515444334907,3.831879466742752e-11,0.16431789846959996,0.22777376049596262,,9.579698666850943e-11,9.579698666856881e-11
N3000_7e1fabaed9,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0032310326894120795,0.0028419387411363463,0.0036201266376878127,4.598597000846658,5.146593847335498e-11,0.003231032689412494,0.002841938741136803,0.0036201266376881852,4.598597000847743,5.14659384731918e-11,,,,1.0293187694670997e-10,1.029318769463836e-10
default_2b13c41e0b,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.004241625467936672,0.0036402798780619822,0.004842971057811361,3.9061297362524803,4.5465349509192477e-10,0.004241625467936228,0.0036402798780614245,0.004842971057811031,3.906129736251335,4.5465349509369054e-10,,,,6.495049929884639e-10,6.495049929909864e-10
ell1_2547fe3151,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.006237713495890537,0.005173623507190095,0.007301803484590978,3.246276755043581,5.129277302078985e-09,0.006237713495890359,0.005173623507189839,0.007301803484590879,3.246276755043251,5.129277302085709e-09,,,,5.129277302078985e-09,5.129277302085709e-09
noise_none_b70fd64e7a,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0037365118662530485,0.0031547473231254113,0.004318276409380686,3.5567848295529614,1.5619016111407913e-09,0.003736511866251509,0.003154747323123881,0.004318276409379138,3.55678482955155,1.5619016111489074e-09,,,,1.7354462346008795e-09,1.7354462346098972e-09
noise_strong_28ba9eae3a,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.003714259465535245,0.003369764847352806,0.004058754083717684,5.970741555985272,1.4904795408707655e-12,0.0037142594655356002,0.003369764847353994,0.004058754083717206,5.970741556000285,1.490479540819551e-12,,,,7.452397704353828e-12,7.452397704097755e-12
phi0.1_7341ed6429,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.003090365727742513,0.002699941233181149,0.003480790222303877,4.3834019651623075,9.790830346703877e-11,0.0030903657277425722,0.0026999412331811935,0.003480790222303951,4.383401965162227,9.790830346706285e-11,,,,1.6318050577839797e-10,1.631805057784381e-10
tau0.3_00b1c3b009,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.003575754165649888,0.003219297610251754,0.003932210721048022,5.555197748847879,3.98715889103707e-12,0.003575754165649503,0.0032192976102516637,0.003932210721047342,5.555197748851879,3.9871588909979714e-12,,,,1.3290529636790235e-11,1.3290529636659904e-11
