scenario_id,method_a,method_b,n_replicates,SHD_mean_diff,SHD_ci95_lo,SHD_ci95_hi,SHD_cohens_d,SHD_p_value,F1_mean_diff,F1_ci95_lo,F1_ci95_hi,F1_cohens_d,F1_p_value,Dir_F1_excluded_reason,n_oriented_excluded_reason,communication_bytes_mean_diff,communication_bytes_ci95_lo,communication_bytes_ci95_hi,communication_bytes_cohens_d,communication_bytes_p_value,runtime_sum_mean_diff,runtime_sum_ci95_lo,runtime_sum_ci95_hi,runtime_sum_cohens_d,runtime_sum_p_value,runtime_parallel_est_mean_diff,runtime_parallel_est_ci95_lo,runtime_parallel_est_ci95_hi,runtime_parallel_est_cohens_d,runtime_parallel_est_p_value,SHD_p_value_bh,F1_p_value_bh,communication_bytes_p_value_bh,runtime_sum_p_value_bh,runtime_parallel_est_p_value_bh
mechshift_delprob0.03_924d81b7cd,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.003133471806844549,0.002884351467988713,0.003382592145700385,6.965544666539241,1.8017954478040891e-13,0.0031334718068438683,0.0028843514679883025,0.003382592145699434,6.965544666545282,1.8017954477826066e-13,,,,9.008977239020446e-13,9.008977238913034e-13
mechshift_delprob0.07_cd3086fda7,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.003077061971029712,0.00271411371438855,0.0034400102276708738,4.694939542006097,3.8936234807510465e-11,0.0030770619710286163,0.00271411371438691,0.0034400102276703226,4.694939541997387,3.893623480848312e-11,,,,6.48937246791841e-11,6.48937246808052e-11
mechshift_delprob0.0_e5f031e028,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0031862735748293385,0.002748735881896792,0.003623811267761885,4.032794249769242,2.977346490543528e-10,0.003186273574829072,0.0027487358818967743,0.0036238112677613693,4.032794249771196,2.9773464905243566e-10,,,,3.72168311317941e-10,3.7216831131554457e-10
mechshift_delprob0.15_4faac5f103,naive,fedpc_consensus,15,0.0,0.0,0.0,,,0.0,0.0,0.0,,,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0089412689208982,-0.0035731938519440055,0.021455731693740404,0.3956629842156995,0.14770653582865126,0.00894126892089835,-0.003573193851943832,0.02145573169374053,0.39566298421570684,0.14770653582864435,,,,0.14770653582865126,0.14770653582864435
mechshift_delprob0.25_312e4892c2,naive,fedpc_consensus,15,-0.06666666666666667,-0.20965244586112847,0.07631911252779515,-0.2581988897471611,0.33428194339465744,0.0026164311719182247,-0.0029952555754628692,0.008228117919299319,0.2581988897471611,0.33428194339465733,Dir_F1 involves structural-zero method naive,n_oriented involves structural-zero method naive,0.0,0.0,0.0,,,0.0031016985575361626,0.002773629444072052,0.0034297676710002734,5.235675466441328,8.919330842701082e-12,0.003101698557535837,0.002773629444071733,0.0034297676709999407,5.235675466440887,8.919330842711308e-12,0.33428194339465744,0.33428194339465733,,2.2298327106752705e-11,2.229832710677827e-11
