scenario,method,SHD_mean,SHD_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Dir_F1_mean,Dir_F1_std,Dir_Prec_mean,Dir_Prec_std,Dir_Rec_mean,Dir_Rec_std,n_oriented_mean,n_oriented_std,Comm_mean,Comm_std,Runtime_mean,Runtime_std
scale_p20,centralized,32.333333333333336,4.988876515698588,0.5913700787890227,0.044650531162369195,0.556476441671071,0.03191855742908204,0.632296650545264,0.06559766149451117,0.3265254879382149,0.0463090102876761,0.6757834751828572,0.15276819751935625,0.21941786277831668,0.040389352255325625,12.333333333333334,2.494438257849294,0.0,0.0,19.418201367060345,5.457489514962518
scale_p20,local,27.666666666666668,2.5104227178350302,0.5964637244759022,0.021530086027611733,0.6485705614275515,0.025758650268939837,0.5527804357880616,0.018504469621469302,0.3648025554031473,0.017185264299850445,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,5.325745979944865,0.9245168287592527
scale_p20,naive,26.333333333333332,2.0548046676563256,0.6101478984801241,0.02761466344428287,0.6735632181706394,0.04624443299661289,0.5581339711401515,0.01483382203709485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0003542900085449219,1.4962863331810387e-05
scale_p20,fedpc_consensus,26.333333333333332,2.0548046676563256,0.6101478984801241,0.02761466344428287,0.6735632181706394,0.04624443299661289,0.5581339711401515,0.01483382203709485,0.3891156417779508,0.05656766977305742,0.6083333329822916,0.06481812160950341,0.28652312591931967,0.0472152620775451,17.333333333333332,1.8856180831641267,8000.0,0.0,0.0026677449544270835,0.00017222089592831434
scale_p20,fedpc_oracle,26.333333333333332,2.0548046676563256,0.6101478984801241,0.02761466344428287,0.6735632181706394,0.04624443299661289,0.5581339711401515,0.01483382203709485,0.3891156417779508,0.05656766977305742,0.6083333329822916,0.06481812160950341,0.28652312591931967,0.0472152620775451,17.333333333333332,1.8856180831641267,8000.0,0.0,0.002595027287801107,0.00033472713747021766
scale_p30,centralized,98.33333333333333,5.312459150169742,0.3806149001181447,0.041436437421353486,0.5195704778299017,0.06733177462807603,0.30102369765021925,0.032815345453611956,0.06841982918135321,0.01225790828569404,0.5444444435407407,0.19309052387022357,0.036880748427176674,0.00683079926435705,7.666666666666667,3.0912061651652345,0.0,0.0,180.33431752522787,16.724196262372576
scale_p30,local,92.2,4.917994171068802,0.3724023296578005,0.028967107587929447,0.5912115281212977,0.03483408700454799,0.2729091171979209,0.028781980346071885,0.09997919514020383,0.013620966290303427,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,29.11653423309326,2.396760560809595
scale_p30,naive,89.33333333333333,3.7712361663282534,0.3704347784326643,0.026302917122879504,0.6378787877239668,0.06359125383515819,0.2618547612207011,0.021486395924736612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0004885196685791016,4.701986743039868e-05
scale_p30,fedpc_consensus,89.33333333333333,3.7712361663282534,0.3704347784326643,0.026302917122879504,0.6378787877239668,0.06359125383515819,0.2618547612207011,0.021486395924736612,0.10143526165726775,0.05174652298477934,0.29658119643559794,0.12110842691126707,0.061412650160461636,0.032538152294615354,19.666666666666668,4.642796092394706,18000.0,0.0,0.004521687825520833,0.0005511089449763822
scale_p30,fedpc_oracle,89.33333333333333,3.7712361663282534,0.3704347784326643,0.026302917122879504,0.6378787877239668,0.06359125383515819,0.2618547612207011,0.021486395924736612,0.10143526165726775,0.05174652298477934,0.29658119643559794,0.12110842691126707,0.061412650160461636,0.032538152294615354,19.666666666666668,4.642796092394706,18000.0,0.0,0.004685242970784505,0.00021571390789348557
scale_p50,centralized,249.66666666666666,9.285592184789412,0.23886265665263026,0.04916374211149578,0.4989658488993509,0.042947835062600796,0.1589410277767639,0.03897758923088858,0.061826032538259024,0.018152557560682833,0.43025362296023845,0.132016625833186,0.03336268020344968,0.009897128561088575,19.666666666666668,2.8674417556808756,0.0,0.0,712.4705620606741,170.17128185078852
scale_p50,local,244.4666666666667,4.937835783237648,0.23156877238870097,0.046551491582098176,0.533898178974177,0.022768072445941766,0.14929741447038022,0.03542484325016895,0.06661730332285239,0.012511024371661001,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,122.98515017827351,21.44707029697169
scale_p50,naive,241.0,7.788880963698615,0.2326447104211249,0.05474530020145927,0.5584045583159274,0.04553950816781687,0.14824694213573872,0.039798760511086224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0008292198181152344,0.00021496904676341312
scale_p50,fedpc_consensus,241.0,7.788880963698615,0.2326447104211249,0.05474530020145927,0.5584045583159274,0.04553950816781687,0.14824694213573872,0.039798760511086224,0.08547442841863656,0.014142718624876082,0.3954810787699552,0.007678361660657079,0.04808915450827986,0.008797539399201536,30.333333333333332,5.436502143433363,50000.0,0.0,0.03624908129374186,0.03160063783462429
scale_p50,fedpc_oracle,241.0,7.788880963698615,0.2326447104211249,0.05474530020145927,0.5584045583159274,0.04553950816781687,0.14824694213573872,0.039798760511086224,0.08526102676502595,0.014053995802321036,0.3875153925002775,0.0037812510291479954,0.04808915450827986,0.008797539399201536,31.0,5.715476066494082,50000.0,0.0,0.013627847035725912,0.0010932390860592367
