rep,centralized_SHD,centralized_F1,centralized_Precision,centralized_Recall,centralized_Dir_F1,centralized_Dir_Prec,centralized_Dir_Rec,local_SHD,local_F1,local_Dir_F1,naive_SHD,naive_F1,naive_Precision,naive_Recall,naive_Dir_F1,naive_Dir_Prec,naive_Dir_Rec,fedpc_consensus_SHD,fedpc_consensus_F1,fedpc_consensus_Precision,fedpc_consensus_Recall,fedpc_consensus_Dir_F1,fedpc_consensus_Dir_Prec,fedpc_consensus_Dir_Rec,fedpc_oracle_SHD,fedpc_oracle_F1,fedpc_oracle_Precision,fedpc_oracle_Recall,fedpc_oracle_Dir_F1,fedpc_oracle_Dir_Prec,fedpc_oracle_Dir_Rec
0,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,20.2,0.4891598864488508,0.2367353016823721,20,0.47368420533241,0.4285714283673469,0.5294117643944637,0.0,0.0,0.0,20,0.47368420533241,0.4285714283673469,0.5294117643944637,0.20689654673008334,0.24999999979166665,0.1764705881314879,18,0.4999999947376544,0.4736842102770083,0.5294117643944637,0.1874999949023439,0.19999999986666667,0.1764705881314879
1,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,21.0,0.4922318715753874,0.2504638363200654,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.0,0.0,0.0,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879
2,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.0,0.5227413766596001,0.265803268395273,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.0,0.0,0.0,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.22222221711419762,0.21052631567867036,0.2352941175086505,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.22222221711419762,0.21052631567867036,0.2352941175086505
3,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.6,0.5322956062964772,0.24542690021542574,19,0.5581395298431585,0.46153846136094673,0.7058823525259516,0.0,0.0,0.0,19,0.5581395298431585,0.46153846136094673,0.7058823525259516,0.2352941125086506,0.2352941175086505,0.2352941175086505,19,0.5581395298431585,0.46153846136094673,0.7058823525259516,0.277777772638889,0.26315789459833794,0.29411764688581316
4,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.0,0.5205549928900541,0.3432840826783293,19,0.5128205076397108,0.45454545433884297,0.5882352937716263,0.0,0.0,0.0,19,0.5128205076397108,0.45454545433884297,0.5882352937716263,0.22857142344489806,0.2222222220987654,0.2352941175086505,19,0.5128205076397108,0.45454545433884297,0.5882352937716263,0.17647058313148803,0.1764705881314879,0.1764705881314879
5,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.2,0.5125848262435444,0.266938562477616,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.0,0.0,0.0,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879
6,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.8,0.5114830854363704,0.21743197928275054,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.0,0.0,0.0,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.1666666615895063,0.15789473675900276,0.1764705881314879
7,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.4,0.5043991729075914,0.1608454240459663,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.0,0.0,0.0,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.21621621113221337,0.1999999999,0.2352941175086505,20,0.4999999948625,0.43478260850661626,0.5882352937716263,0.21621621113221337,0.1999999999,0.2352941175086505
8,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,20.6,0.4821754146546132,0.3071372180389585,21,0.4878048729565736,0.41666666649305556,0.5882352937716263,0.0,0.0,0.0,21,0.4878048729565736,0.41666666649305556,0.5882352937716263,0.17647058313148803,0.1764705881314879,0.1764705881314879,21,0.4878048729565736,0.41666666649305556,0.5882352937716263,0.17647058313148803,0.1764705881314879,0.1764705881314879
9,21,0.5333333283950616,0.4285714284183673,0.7058823525259516,0.20689654673008334,0.24999999979166665,0.1764705881314879,19.4,0.525778965602051,0.16196078023827684,18,0.5714285663378685,0.479999999808,0.7058823525259516,0.0,0.0,0.0,18,0.5714285663378685,0.479999999808,0.7058823525259516,0.29411764188581324,0.29411764688581316,0.29411764688581316,18,0.5714285663378685,0.479999999808,0.7058823525259516,0.29411764188581324,0.29411764688581316,0.29411764688581316
