scenario,method,SHD_mean,SHD_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Dir_F1_mean,Dir_F1_std,Dir_Prec_mean,Dir_Prec_std,Dir_Rec_mean,Dir_Rec_std,n_oriented_mean,n_oriented_std,Comm_mean,Comm_std,Runtime_mean,Runtime_std
ablation_ell1_tau0.3,centralized,29.25,11.282176208515802,0.6550146418878445,0.10608039914131727,0.6344438406770914,0.0878909494674289,0.6812753737762831,0.13503054015074412,0.3096845765713233,0.13981835955300484,0.6769794234318813,0.1729216355534793,0.20692169780076522,0.10527458744006235,11.25,3.5053530492662217,0.0,0.0,32.247956085205075,16.65508414001084
ablation_ell1_tau0.3,local,27.490000000000002,9.783961365418406,0.6337675388586614,0.10183450797591576,0.6979100605784676,0.09003523669479312,0.5840939584650054,0.1137449876098055,0.30217216322976215,0.10748683448439382,0.0,0.0,0.0,0.0,0.0,0.0,325.375,15.99365108410209,6.1965981245040895,2.014910563518071
ablation_ell1_tau0.3,naive,27.45,11.124185363432236,0.6517612900996104,0.11128510752221088,0.6856747912377064,0.11036112409645621,0.624312919436438,0.11956102321957694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.375,15.99365108410209,0.0005746006965637207,0.000187396358214062
ablation_ell1_tau0.3,fedpc_consensus,27.45,11.124185363432236,0.6517612900996104,0.11128510752221088,0.6856747912377064,0.11036112409645621,0.624312919436438,0.11956102321957694,0.32063688928207745,0.11710808737904145,0.48752640322416124,0.11128567231706658,0.2468985419962883,0.10910756713824031,19.2,4.822862220714998,325.375,15.99365108410209,0.007267129421234131,0.015514005066524863
ablation_ell1_tau0.3,fedpc_oracle,27.45,11.124185363432236,0.6517612900996104,0.11128510752221088,0.6856747912377064,0.11036112409645621,0.624312919436438,0.11956102321957694,0.32063688928207745,0.11710808737904145,0.48752640322416124,0.11128567231706658,0.2468985419962883,0.10910756713824031,19.2,4.822862220714998,325.375,15.99365108410209,0.0032152414321899416,0.0011103848294177982
ablation_ell1_tau0.5,centralized,40.05,13.021040665015988,0.6182576220522349,0.07930736311042835,0.48932597631301855,0.08731332831616478,0.853293500194997,0.06666117474083527,0.36470887044510525,0.12590678979768719,0.5420804937577709,0.12225842584113977,0.2934882179736382,0.1310732354167184,19.95,8.363462201743964,0.0,0.0,2.153364157676697,0.6294263388532587
ablation_ell1_tau0.5,local,33.769999999999996,10.409279513972136,0.6215241293057406,0.08342936215915424,0.5424987497808063,0.09563613361986179,0.7371747580187963,0.08115660921082699,0.3021412426312569,0.11302561817766113,0.0,0.0,0.0,0.0,0.0,0.0,278.15625,29.70458390025856,4.261295020580292,1.2476255852662048
ablation_ell1_tau0.5,naive,32.25,11.414354997107809,0.6322401400660561,0.09985090280612734,0.5622577038933927,0.11431270186819946,0.7319970198323932,0.09495285706338612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.15625,29.70458390025856,0.0010800361633300781,0.0010391246385199127
ablation_ell1_tau0.5,fedpc_consensus,32.25,11.414354997107809,0.6322401400660561,0.09985090280612734,0.5622577038933927,0.11431270186819946,0.7319970198323932,0.09495285706338612,0.2833705130573862,0.09042565186840505,0.40426417059349423,0.10703003463561614,0.22456499904080912,0.08379333641562271,20.05,4.964624859946621,278.15625,29.70458390025856,0.00391916036605835,0.0013624464931984038
ablation_ell1_tau0.5,fedpc_oracle,32.25,11.414354997107809,0.6322401400660561,0.09985090280612734,0.5622577038933927,0.11431270186819946,0.7319970198323932,0.09495285706338612,0.2833705130573862,0.09042565186840505,0.40426417059349423,0.10703003463561614,0.22456499904080912,0.08379333641562271,20.05,4.964624859946621,278.15625,29.70458390025856,0.0037577033042907717,0.0016386593782003963
