scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_K2,0,centralized,27.0,0.6823529360166091,0.6904761903117914,0.6744186044943212,9,0.8888888879012344,0.18604651158464033,0.30769230471153847,0.0,45.80483365058899
p20_K2,0,fedpc_consensus,36.0,0.6170212715006792,0.5686274508688965,0.6744186044943212,12,0.4999999995833333,0.13953488368848024,0.21818181469090914,152.5,0.002665281295776367
p20_K2,0,fedpc_oracle,28.0,0.666666661510771,0.6829268291017252,0.6511627905462412,12,0.5833333328472222,0.1627906976365603,0.25454545104132237,152.5,0.0025191307067871094
p20_K2,0,naive,36.0,0.6170212715006792,0.5686274508688965,0.6744186044943212,0,0.0,0.0,0.0,152.5,0.0008864402770996094
p20_K2,0,local,31.0,0.6356589095804261,0.6437889958759031,0.6279069765981611,0,0.0,0.0,0.1984451695606445,152.5,6.402395248413086
p20_K2,1,centralized,22.0,0.7441860413628989,0.6956521737618148,0.7999999998,11,0.9090909082644627,0.2499999999375,0.392156859207997,0.0,32.69800305366516
p20_K2,1,fedpc_consensus,25.0,0.7191011184850399,0.6530612243565181,0.7999999998,11,0.8181818174380164,0.22499999994375,0.35294117294886584,150.0,0.0015056133270263672
p20_K2,1,fedpc_oracle,20.0,0.7435897384023668,0.763157894536011,0.72499999981875,20,0.549999999725,0.27499999993125,0.36666666210000004,150.0,0.001712799072265625
p20_K2,1,naive,25.0,0.7191011184850399,0.6530612243565181,0.7999999998,0,0.0,0.0,0.0,150.0,0.0005233287811279297
p20_K2,1,local,22.0,0.7289377237646755,0.722488038099617,0.737499999815625,0,0.0,0.0,0.3822222185554788,150.0,2.5772440433502197
p20_K2,2,centralized,39.0,0.5517241329951117,0.6857142855183673,0.4615384614497041,14,0.5714285710204081,0.15384615381656805,0.24242423900826446,0.0,47.902167320251465
p20_K2,2,fedpc_consensus,41.0,0.5393258377174599,0.6486486484733381,0.4615384614497041,22,0.45454545433884297,0.19230769227071007,0.270270266018992,128.75,0.0019412040710449219
p20_K2,2,fedpc_oracle,37.0,0.5647058774698962,0.7272727270523416,0.4615384614497041,19,0.5263157891966759,0.19230769227071007,0.28169013684586397,128.75,0.0017230510711669922
p20_K2,2,naive,41.0,0.5393258377174599,0.6486486484733381,0.4615384614497041,0,0.0,0.0,0.0,128.75,0.00036787986755371094
p20_K2,2,local,38.5,0.5442576982190751,0.7073863634187489,0.4423076922226331,0,0.0,0.0,0.2049837450256498,128.75,4.7325780391693115
p20_K2,3,centralized,14.0,0.7666666614111112,0.7666666664111111,0.7666666664111111,18,0.7222222218209876,0.4333333331888889,0.5416666617534723,0.0,9.74454641342163
p20_K2,3,fedpc_consensus,16.0,0.7419354786368366,0.7187499997753906,0.7666666664111111,19,0.3157894735180055,0.19999999993333334,0.2448979543356935,122.5,0.0017306804656982422
p20_K2,3,fedpc_oracle,14.0,0.7586206843995245,0.7857142854336735,0.7333333330888888,20,0.449999999775,0.2999999999,0.35999999505600006,122.5,0.0016477108001708984
p20_K2,3,naive,16.0,0.7419354786368366,0.7187499997753906,0.7666666664111111,0,0.0,0.0,0.0,122.5,0.00035691261291503906
p20_K2,3,local,15.0,0.7502780815181805,0.752232142604532,0.74999999975,0,0.0,0.0,0.5115646210356303,122.5,1.5014927387237549
p20_K2,4,centralized,29.0,0.6588235242574394,0.6511627905462412,0.6666666665079365,15,0.5333333329777777,0.190476190430839,0.28070175040935674,0.0,36.889036655426025
p20_K2,4,fedpc_consensus,35.0,0.6153846102789519,0.5714285713119533,0.6666666665079365,9,0.3333333329629629,0.07142857141156463,0.11764705587081899,156.25,0.0013804435729980469
p20_K2,4,fedpc_oracle,29.0,0.6588235242574394,0.6511627905462412,0.6666666665079365,11,0.2727272724793388,0.07142857141156463,0.11320754383766475,156.25,0.0012793540954589844
p20_K2,4,naive,35.0,0.6153846102789519,0.5714285713119533,0.6666666665079365,0,0.0,0.0,0.0,156.25,0.0007610321044921875
p20_K2,4,local,33.5,0.6084815270070323,0.5983086679384098,0.6190476189002267,0,0.0,0.0,0.1818796448937503,156.25,3.2109715938568115
p20_K2,5,centralized,21.0,0.6865671589841835,0.657142856955102,0.7187499997753906,20,0.5999999997,0.3749999998828125,0.46153845662721893,0.0,23.883971214294434
p20_K2,5,fedpc_consensus,23.0,0.666666661499685,0.6216216214536158,0.7187499997753906,19,0.631578947036011,0.3749999998828125,0.47058823043444836,132.5,0.002605915069580078
p20_K2,5,fedpc_oracle,23.0,0.666666661499685,0.6216216214536158,0.7187499997753906,19,0.631578947036011,0.3749999998828125,0.47058823043444836,132.5,0.00220489501953125
p20_K2,5,naive,23.0,0.666666661499685,0.6216216214536158,0.7187499997753906,0,0.0,0.0,0.0,132.5,0.000530242919921875
p20_K2,5,local,20.0,0.6969696917630854,0.6764705880363322,0.7187499997753906,0,0.0,0.0,0.43725574874435713,132.5,2.7034809589385986
p20_K2,6,centralized,31.0,0.6666666615285004,0.6458333331987847,0.6888888887358025,5,0.1999999996,0.02222222221728395,0.03999999818400008,0.0,38.58103060722351
p20_K2,6,fedpc_consensus,30.0,0.6808510586939793,0.6530612243565181,0.7111111109530864,9,0.5555555549382716,0.11111111108641974,0.1851851823388203,152.5,0.0019457340240478516
p20_K2,6,fedpc_oracle,25.0,0.7058823477923876,0.7499999998125,0.6666666665185185,18,0.4444444441975308,0.1777777777382716,0.2539682498059965,152.5,0.0019559860229492188
p20_K2,6,naive,30.0,0.6808510586939793,0.6530612243565181,0.7111111109530864,0,0.0,0.0,0.0,152.5,0.0010094642639160156
p20_K2,6,local,26.0,0.7012557780598095,0.7272727270989152,0.6777777776271605,0,0.0,0.0,0.18019480206381241,152.5,3.620596408843994
