scenario,method,SHD_mean,SHD_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Dir_F1_mean,Dir_F1_std,Dir_Prec_mean,Dir_Prec_std,Dir_Rec_mean,Dir_Rec_std,n_oriented_mean,n_oriented_std,Comm_mean,Comm_std,Runtime_mean,Runtime_std
p20_K2,centralized,26.1,9.065870063044141,0.6760217203634301,0.0818201241180729,0.6738285254519322,0.06551485472654156,0.6839638392805542,0.11015930617344898,0.3321646638569189,0.1412356726707039,0.6753093469222192,0.18149283539557048,0.2299868984556707,0.116085145260029,12.4,4.115823125451335,0.0,0.0,28.977810561656952,14.770315147640146
p20_K2,local,26.3,8.602906485601247,0.6623211369522282,0.07890246813115498,0.6829114628712394,0.0649639559848322,0.649249446587356,0.10313861950295461,0.31395889939296756,0.11759331145061941,0.0,0.0,0.0,0.0,0.0,0.0,140.375,10.391553060057962,3.1107854008674622,1.239475798697414
p20_K2,naive,28.2,9.025519375637062,0.6622387707312226,0.07490007225574151,0.6383341835122258,0.06614734738443866,0.6941666626556197,0.10186249004350054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.375,10.391553060057962,0.0005814671516418457,0.00019065693328696137
p20_K2,fedpc_consensus,28.2,9.025519375637062,0.6622387707312226,0.07490007225574151,0.6383341835122258,0.06614734738443866,0.6941666626556197,0.10186249004350054,0.28207751933478104,0.11806852516844714,0.46825736009823304,0.16392595884927139,0.21041771281735996,0.10195700201977022,17.4,5.161395160225576,140.375,10.391553060057962,0.0018557071685791015,0.00043804365567868945
p20_K2,fedpc_oracle,24.95,8.163792011069365,0.6788788273879635,0.07569626792864485,0.7013759004850837,0.06639068756601106,0.6645308413881741,0.10218040053520669,0.3023280520008591,0.11345140457450427,0.464276151407931,0.12332785365116436,0.23051349676103258,0.10341868589629752,18.6,4.487761134463375,140.375,10.391553060057962,0.0017699956893920898,0.0003425414820496375
p20_K5,centralized,22.35,9.084464761338445,0.7164247431320162,0.09881125454466831,0.6888723150065713,0.09771713179030311,0.7532306351050002,0.12599129861762937,0.4243405083819285,0.13946708183590298,0.719023208351304,0.11483522197946716,0.3148459899835016,0.14143051927593947,15.5,4.8425200051213,0.0,0.0,20.179420161247254,9.991308012525037
p20_K5,local,21.65,7.457043650133746,0.6903104316360836,0.09142723486374685,0.7419507281467322,0.0794523454952286,0.6519782658114791,0.11426401848433526,0.36799798369665526,0.11803271188953196,0.0,0.0,0.0,0.0,0.0,0.0,318.25,15.407993055553991,4.616981208324432,1.521069494135337
p20_K5,naive,20.75,7.595228765481656,0.6976498760370835,0.09945260234848761,0.7642459591912432,0.08264867092636179,0.648221185611788,0.124049937467965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.25,15.407993055553991,0.00048280954360961913,0.00020251763732599207
p20_K5,fedpc_consensus,20.75,7.595228765481656,0.6976498760370835,0.09945260234848761,0.7642459591912432,0.08264867092636179,0.648221185611788,0.124049937467965,0.3193764408517663,0.1077029425983414,0.48813665188372013,0.13403406049261635,0.24897389576224352,0.10391636087774486,18.2,5.436910887627275,318.25,15.407993055553991,0.003058135509490967,0.0011806876493038034
p20_K5,fedpc_oracle,20.75,7.595228765481656,0.6976498760370835,0.09945260234848761,0.7642459591912432,0.08264867092636179,0.648221185611788,0.124049937467965,0.3193764408517663,0.1077029425983414,0.48813665188372013,0.13403406049261635,0.24897389576224352,0.10391636087774486,18.2,5.436910887627275,318.25,15.407993055553991,0.0024957537651062013,0.0005772064189616939
