rep,scheme,SHD,F1,Dir_F1,Dir_Prec,Dir_Rec
0,unsquared,35,0.5783132479082597,0.20338982681987938,0.4285714282653061,0.1333333333037037
0,squared_default,35,0.5783132479082597,0.20338982681987938,0.4285714282653061,0.1333333333037037
0,temperature_0.1,36,0.5714285663180272,0.23333332950555558,0.46666666635555554,0.15555555552098765
0,size_aware,35,0.5783132479082597,0.20338982681987938,0.4285714282653061,0.1333333333037037
1,unsquared,27,0.6582278430700209,0.3235294072923876,0.49999999977272724,0.23913043473062381
1,squared_default,27,0.6582278430700209,0.3235294072923876,0.49999999977272724,0.23913043473062381
1,temperature_0.1,27,0.6582278430700209,0.30303029871441695,0.49999999975,0.2173913043005671
1,size_aware,27,0.6582278430700209,0.3235294072923876,0.49999999977272724,0.23913043473062381
2,unsquared,17,0.746268651548229,0.3103448228596909,0.4285714283673469,0.24324324317750182
2,squared_default,17,0.746268651548229,0.3103448228596909,0.4285714283673469,0.24324324317750182
2,temperature_0.1,18,0.7272727221258034,0.22641509003915988,0.374999999765625,0.16216216211833454
2,size_aware,17,0.746268651548229,0.3103448228596909,0.4285714283673469,0.24324324317750182
3,unsquared,36,0.470588230367647,0.1935483825546307,0.2857142855782313,0.1463414633789411
3,squared_default,36,0.470588230367647,0.1935483825546307,0.2857142855782313,0.1463414633789411
3,temperature_0.1,36,0.470588230367647,0.1935483825546307,0.2857142855782313,0.1463414633789411
3,size_aware,36,0.470588230367647,0.1935483825546307,0.2857142855782313,0.1463414633789411
4,unsquared,13,0.7796610117552427,0.45614034584179747,0.5416666664409722,0.39393939382001836
4,squared_default,13,0.7796610117552427,0.45614034584179747,0.5416666664409722,0.39393939382001836
4,temperature_0.1,13,0.7796610117552427,0.45614034584179747,0.5416666664409722,0.39393939382001836
4,size_aware,13,0.7796610117552427,0.45614034584179747,0.5416666664409722,0.39393939382001836
5,unsquared,14,0.7407407354938271,0.2222222189660494,0.571428570612245,0.1379310344351962
5,squared_default,14,0.7407407354938271,0.2222222189660494,0.571428570612245,0.1379310344351962
5,temperature_0.1,14,0.7407407354938271,0.2222222189660494,0.571428570612245,0.1379310344351962
5,size_aware,14,0.7407407354938271,0.2222222189660494,0.571428570612245,0.1379310344351962
6,unsquared,14,0.7878787826400367,0.4615384567233728,0.631578947036011,0.3636363635261708
6,squared_default,14,0.7878787826400367,0.4615384567233728,0.631578947036011,0.3636363635261708
6,temperature_0.1,14,0.7878787826400367,0.45283018380918477,0.5999999997,0.3636363635261708
6,size_aware,14,0.7878787826400367,0.4615384567233728,0.631578947036011,0.3636363635261708
7,unsquared,26,0.6749999948812501,0.3492063448828421,0.5789473681163435,0.2499999999431818
7,squared_default,26,0.6749999948812501,0.3492063448828421,0.5789473681163435,0.2499999999431818
7,temperature_0.1,26,0.6749999948812501,0.36363635908172637,0.5454545452066115,0.27272727266528923
7,size_aware,26,0.6749999948812501,0.3492063448828421,0.5789473681163435,0.2499999999431818
8,unsquared,34,0.5526315739265929,0.24561403148045552,0.5384615380473372,0.15909090905475207
8,squared_default,34,0.5526315739265929,0.24561403148045552,0.5384615380473372,0.15909090905475207
8,temperature_0.1,34,0.5526315739265929,0.24561403148045552,0.5384615380473372,0.15909090905475207
8,size_aware,34,0.5526315739265929,0.24561403148045552,0.5384615380473372,0.15909090905475207
9,unsquared,25,0.6376811543625289,0.24999999582908167,0.4374999997265625,0.17499999995624999
9,squared_default,25,0.6376811543625289,0.24999999582908167,0.4374999997265625,0.17499999995624999
9,temperature_0.1,25,0.6376811543625289,0.3157894693875039,0.5294117643944637,0.22499999994375
9,size_aware,25,0.6376811543625289,0.24999999582908167,0.4374999997265625,0.17499999995624999
10,unsquared,20,0.6774193496253902,0.319999995264,0.4444444441975308,0.249999999921875
10,squared_default,20,0.6774193496253902,0.319999995264,0.4444444441975308,0.249999999921875
10,temperature_0.1,20,0.6774193496253902,0.319999995264,0.4444444441975308,0.249999999921875
10,size_aware,20,0.6774193496253902,0.319999995264,0.4444444441975308,0.249999999921875
11,unsquared,28,0.611111106080247,0.27586206487514864,0.4999999996875,0.190476190430839
11,squared_default,28,0.611111106080247,0.27586206487514864,0.4999999996875,0.190476190430839
11,temperature_0.1,29,0.602739720975793,0.2666666623777778,0.4444444441975308,0.190476190430839
11,size_aware,28,0.611111106080247,0.27586206487514864,0.4999999996875,0.190476190430839
12,unsquared,24,0.624999994926758,0.3571428525318878,0.5263157891966759,0.27027027019722427
12,squared_default,24,0.624999994926758,0.3571428525318878,0.5263157891966759,0.27027027019722427
12,temperature_0.1,23,0.6349206298715042,0.3793103400772889,0.5238095235600907,0.29729729721694664
12,size_aware,24,0.624999994926758,0.3571428525318878,0.5263157891966759,0.27027027019722427
13,unsquared,30,0.5945945895653763,0.2807017505817174,0.5714285710204081,0.18604651158464033
13,squared_default,30,0.5945945895653763,0.2807017505817174,0.5714285710204081,0.18604651158464033
13,temperature_0.1,31,0.5866666616177779,0.21818181469090914,0.4999999995833333,0.13953488368848024
13,size_aware,30,0.5945945895653763,0.2807017505817174,0.5714285710204081,0.18604651158464033
14,unsquared,18,0.7352941124697232,0.1960784273125722,0.3571428568877551,0.13513513509861214
14,squared_default,18,0.7352941124697232,0.1960784273125722,0.3571428568877551,0.13513513509861214
14,temperature_0.1,18,0.7352941124697232,0.1960784273125722,0.3571428568877551,0.13513513509861214
14,size_aware,18,0.7352941124697232,0.1960784273125722,0.3571428568877551,0.13513513509861214
15,unsquared,26,0.6578947317243767,0.2318840531400967,0.2962962961865569,0.190476190430839
15,squared_default,26,0.6578947317243767,0.2318840531400967,0.2962962961865569,0.190476190430839
15,temperature_0.1,26,0.6578947317243767,0.2318840531400967,0.2962962961865569,0.190476190430839
15,size_aware,26,0.6578947317243767,0.2318840531400967,0.2962962961865569,0.190476190430839
16,unsquared,19,0.7164179054221431,0.3448275818073722,0.5555555552469136,0.2499999999375
16,squared_default,19,0.7164179054221431,0.3448275818073722,0.5555555552469136,0.2499999999375
16,temperature_0.1,20,0.7058823478892734,0.3448275818073722,0.5555555552469136,0.2499999999375
16,size_aware,19,0.7164179054221431,0.3448275818073722,0.5555555552469136,0.2499999999375
17,unsquared,28,0.5999999949755103,0.3870967695889699,0.5714285711564626,0.2926829267578822
17,squared_default,28,0.5999999949755103,0.3870967695889699,0.5714285711564626,0.2926829267578822
17,temperature_0.1,28,0.5999999949755103,0.3870967695889699,0.5714285711564626,0.2926829267578822
17,size_aware,28,0.5999999949755103,0.3870967695889699,0.5714285711564626,0.2926829267578822
18,unsquared,17,0.738461533235503,0.5454545403900828,0.6521739127599243,0.4687499998535156
18,squared_default,17,0.738461533235503,0.5454545403900828,0.6521739127599243,0.4687499998535156
18,temperature_0.1,17,0.738461533235503,0.5454545403900828,0.6521739127599243,0.4687499998535156
18,size_aware,17,0.738461533235503,0.5454545403900828,0.6521739127599243,0.4687499998535156
19,unsquared,27,0.6301369812872961,0.28571428204719385,0.6153846149112425,0.18604651158464033
19,squared_default,27,0.6301369812872961,0.28571428204719385,0.6153846149112425,0.18604651158464033
19,temperature_0.1,28,0.6216216165850986,0.28571428204719385,0.6153846149112425,0.18604651158464033
19,size_aware,27,0.6301369812872961,0.28571428204719385,0.6153846149112425,0.18604651158464033
