weight_L1_regret,F1_regret,DirF1_regret
0.03669882995780943,0.0,0.0
0.11529179044490309,0.0,0.0
0.14693399119637235,0.0,0.0
0.10853515690186516,0.0,0.0
0.04313998533240315,0.0,0.0
0.09545233859541435,0.0,0.0
0.16801813955116598,0.0,0.0
0.04310368283093707,0.0,0.0
0.07562945157860643,0.0,0.0
0.08254974213555785,0.0,0.0
0.09344641274408955,0.0,0.0
0.14038286995962335,0.0,0.0
0.09351083960395834,0.0,0.0
0.07333624804298164,0.0,0.0
0.22627195672252093,0.0,0.0
0.06172688055998468,0.0,0.0
0.06363671720932332,0.0,0.0
0.04052526553530733,0.0,0.0
0.050870042771876345,0.0,0.0
0.09539072367399892,0.0,0.0
