raw_consensus_score,normalized_squared_weight,actual_skeleton_F1
0.8617293625914316,0.21569662457309344,0.8928571375382655
0.8277078698553948,0.19900121828598277,0.85185184654321
0.7995751728110599,0.185703533488458,0.8421052578639582
0.8462464080459771,0.20801528242045766,0.8571428518367348
0.8121347402597403,0.19158334123200818,0.8333333280777778
0.703475400457666,0.21518718398538247,0.699999994875
0.6912473491420861,0.20777128664876549,0.61333332832
0.6193821643185375,0.16681533121337244,0.6499999948874999
0.7100101626016261,0.21920360964623653,0.6835442986893127
0.6628008811898414,0.1910225885062431,0.6301369813398386
0.7167315372546437,0.1832353115852419,0.7761193977545111
0.720976926368454,0.1854124421422169,0.6956521687124554
0.7894078144078144,0.22227928156467625,0.6666666614692378
0.7610234222076329,0.2065818625691274,0.686567158975273
0.7534508047665942,0.20249110213873758,0.7272727220569332
0.8146947415329768,0.20889424674894103,0.7301587249382716
0.8116995851370852,0.20736110606642552,0.7187499947802735
0.7397058823529412,0.17220858467542355,0.7096774141467221
0.800326797385621,0.20159110714461093,0.7878787826400367
0.8167410714285714,0.20994495536459892,0.7301587249382716
0.7323131955484896,0.20774565418562185,0.5999999948653061
0.6869369369369369,0.18279822170831464,0.6086956470489393
0.7192192192192193,0.20038296413498127,0.6857142805551021
0.7299836601307189,0.20642605180010826,0.6865671590643796
0.7232710651828299,0.20264710817097395,0.7246376760008401
0.7240970919324577,0.2036608321396966,0.7878787826584023
0.7181764507422402,0.20034394811685163,0.7812499947607421
0.7221612047269942,0.20257330571006785,0.7301587249281934
0.6732729161082819,0.17607439144731157,0.7076923024852072
0.748032373032373,0.21734752258607232,0.7878787826584023
0.8033195970695971,0.20222083941792515,0.7027026975456537
0.7853733541233542,0.19328649487289892,0.6666666615111112
0.7732155232155232,0.18734854049106675,0.6666666615111112
0.8107613107613109,0.20598482059549517,0.6944444393132717
0.8208815958815959,0.21115930462261406,0.7222222170833333
0.821640169842994,0.21536443464350724,0.7246376759504305
0.7959491834652297,0.202106993228765,0.771428566212245
0.8173632368914783,0.21312817124208353,0.7428571376489795
0.7758420441347271,0.19202478167635664,0.6944444392669754
0.7456613508442778,0.17737561920928752,0.7352941124307959
0.7137840135028196,0.18999707441675048,0.7222222170833333
0.7488385598141695,0.2091171631039647,0.7272727220569332
0.7442788363840995,0.206578262279265,0.7187499947753906
0.7120012080118463,0.1890491551472282,0.7246376759756356
0.7418972675245625,0.20525834505279172,0.7692307639952662
0.750812842918106,0.1949704705987075,0.6493506442502952
0.7425386382623225,0.1906968717856712,0.6499999948656251
0.7138888888888889,0.17626524928263604,0.6097560924241524
0.7822055137844611,0.2116153662308318,0.6399999949368889
0.8091618404118405,0.22645204210215353,0.6753246702175747
0.8396650326797386,0.2121346635856438,0.6969696917998165
0.8043085655314758,0.1946457349199505,0.735294112448097
0.814207642516466,0.1994664477237887,0.6666666615059688
0.8455238852297676,0.2151053763826964,0.7142857090857143
0.7705468626521258,0.1786477773879206,0.7142857090857143
0.7225880124777184,0.1939877031230605,0.6865671591623971
0.7355113636363637,0.20098862071180956,0.656716412902651
0.7106638724285782,0.18763816279750017,0.5915492906883556
0.7910068426197459,0.2324626459287026,0.6268656666429049
0.7055031571160604,0.18492286743892702,0.6376811543625289
0.7265056963645673,0.20186159833750877,0.5970149202851416
0.7661300505050506,0.22448155115440124,0.6268656665448875
0.7013256868095578,0.18811141547373353,0.5970149202851416
0.7400853889943075,0.20947843496870258,0.6031745981960192
0.678502031443208,0.176067000065654,0.5999999948653061
0.868051803591292,0.20371740303380612,0.6249999948486329
0.8980730223123732,0.21805203534386944,0.6451612851977108
0.8980730223123732,0.21805203534386944,0.6451612851977108
0.7737394957983192,0.1618550953400232,0.6470588183434257
0.8564826931885101,0.1983234309384318,0.6349206297808012
0.681296992481203,0.1976676134624384,0.774193543137357
0.6370156159629844,0.17280755796872566,0.774193543137357
0.7000000000000001,0.2086693461848009,0.779661011697788
0.7143620268620269,0.2173198001184335,0.7619047566641471
0.6913357110725532,0.2035356822656016,0.6984126931922399
0.7460148083623692,0.20276935859965006,0.805194800053972
0.7240856825839508,0.19102374331195737,0.7560975558030935
0.7684253246753248,0.2151348506663852,0.7499999948406251
0.6895727794663964,0.17324776874054448,0.674999994859375
0.7732134979157101,0.21782427868146284,0.7560975558030935
0.857545045045045,0.19766810013658004,0.6874999948291016
0.8290165165165165,0.18473495133928589,0.6774193496409989
0.8677927927927928,0.2024206346306005,0.7419354786524454
0.8554054054054053,0.19668293702885647,0.7419354786524454
0.9015873015873015,0.21849337686467704,0.7301587249584279
0.7836106448109015,0.20866251855158516,0.6075949315942958
0.7700970200970202,0.20152766680682072,0.6315789422887812
0.7750421727395412,0.204124183393872,0.6153846102794215
0.7615576102418208,0.19708306869332273,0.6133333282773333
0.7449924973111751,0.18860256255439944,0.5974025923157363
0.6842420589903573,0.21448609998766288,0.574999994934375
0.6557418699186992,0.196990576100269,0.524999994946875
0.697164196522348,0.2226638795190588,0.524999994946875
0.5789806029667063,0.15357044727727015,0.48101265320301234
0.6807284980744545,0.21228899711573923,0.4935064885208298
0.7547619047619047,0.20864354786070605,0.7076923024852072
0.6871232015533486,0.17292358950809844,0.6774193496670137
0.7670454545454546,0.21549004743801306,0.7096774141727368
0.7259219028520499,0.19300333615814233,0.74193547867846
0.7571022727272727,0.20993947903504004,0.7213114702391831
