rep,client_role,sample_size,actual_quality,consensus_weight
0,minority_highquality,200,0.6129032207960459,0.2370676604498
0,corrupted,1000,0.2916666618684896,0.022374413484431206
0,normal_large,2500,0.6233766182222972,0.23856528160328916
0,normal_medium,1000,0.676923071810651,0.27420799017567565
0,normal_small,300,0.6153846102911243,0.22778465428680383
1,minority_highquality,200,0.6101694864923873,0.24409850972765676
1,corrupted,1000,0.263736258944572,0.014582767832287614
1,normal_large,2500,0.5671641739451994,0.2512754924605657
1,normal_medium,1000,0.5588235242517301,0.26415844686664763
1,normal_small,300,0.6249999948486329,0.22588478311284235
2,minority_highquality,200,0.4358974310519395,0.21648708734445704
2,corrupted,1000,0.27419354359781484,0.03395298492463054
2,normal_large,2500,0.4090909040392562,0.279054018983115
2,normal_medium,1000,0.43373493477718106,0.2766636629884868
2,normal_small,300,0.37333332862577784,0.1938422457593107
3,minority_highquality,200,0.6760563330053562,0.2576198466147519
3,corrupted,1000,0.311926600710378,0.024235889070309786
3,normal_large,2500,0.6976744134451055,0.22609024324485336
3,normal_medium,1000,0.7179487127942143,0.24732457830359028
3,normal_small,300,0.6301369812422594,0.2447294427664947
4,minority_highquality,200,0.67647058324827,0.23395993396607123
4,corrupted,1000,0.2452830140779638,0.013334994713419162
4,normal_large,2500,0.6829268241017252,0.24597626241925716
4,normal_medium,1000,0.7179487127777778,0.26408161229035504
4,normal_small,300,0.67647058324827,0.2426471966108974
5,minority_highquality,200,0.6885245850470304,0.2276368488061857
5,corrupted,1000,0.2197802149981887,0.01771543880711777
5,normal_large,2500,0.7179487128172256,0.21787930347284992
5,normal_medium,1000,0.7536231831884059,0.2971726944750402
5,normal_small,300,0.6666666615833334,0.23959571443880648
6,minority_highquality,200,0.5135135088166546,0.18136833842836173
6,corrupted,1000,0.27419354359781484,0.01676214406004271
6,normal_large,2500,0.5238095187868481,0.26239817710014957
6,normal_medium,1000,0.5063291090273996,0.30113050994152285
6,normal_small,300,0.5897435848586458,0.23834083046992313
7,minority_highquality,200,0.5714285663995969,0.2052008316682514
7,corrupted,1000,0.31249999519748267,0.02352074114000074
7,normal_large,2500,0.7499999947955248,0.2576493270231878
7,normal_medium,1000,0.686567159028737,0.2516139609120425
7,normal_small,300,0.6956521687376602,0.2620151392565176
8,minority_highquality,200,0.5396825347946587,0.21402052740118108
8,corrupted,1000,0.2178217773943732,0.028997612137180773
8,normal_large,2500,0.6133333281777777,0.2597913541197195
8,normal_medium,1000,0.5882352890527682,0.26560288099634977
8,normal_small,300,0.5671641740699488,0.23158762534556887
9,minority_highquality,200,0.5714285664540817,0.25235833270261754
9,corrupted,1000,0.31818181336776863,0.01376528221723049
9,normal_large,2500,0.7575757523507807,0.21568628294118283
9,normal_medium,1000,0.580645156149844,0.24376385666611586
9,normal_small,300,0.6551724087158146,0.2744262454728534
10,minority_highquality,200,0.7118644016546969,0.2520542236022495
10,corrupted,1000,0.22727272247933894,0.0035738684326776958
10,normal_large,2500,0.6562499948144531,0.2104385040590052
10,normal_medium,1000,0.7333333281777779,0.268398333681681
10,normal_small,300,0.7333333281777779,0.26553507022438666
11,minority_highquality,200,0.6249999948486329,0.21408547224954178
11,corrupted,1000,0.24175823697138032,0.014015214336995787
11,normal_large,2500,0.8115941976643564,0.2768578611315419
11,normal_medium,1000,0.7647058771323529,0.2680248951635171
11,normal_small,300,0.7741935432206036,0.22701655711840354
12,minority_highquality,200,0.5070422488157112,0.24240553184982822
12,corrupted,1000,0.3361344489824165,0.02840839160269688
12,normal_large,2500,0.5227272676188016,0.22425627173796206
12,normal_medium,1000,0.5569620203108477,0.2784342607050367
12,normal_small,300,0.5135135086705626,0.22649554410447614
13,minority_highquality,200,0.7241379259334128,0.24083753182718942
13,corrupted,1000,0.22727272247933894,0.004669825923534985
13,normal_large,2500,0.6984126932224742,0.2612788532071052
13,normal_medium,1000,0.7096774141727368,0.23642373854363813
13,normal_small,300,0.7096774141727368,0.25679005049853243
14,minority_highquality,200,0.8837209248242294,0.23748282180555397
14,corrupted,1000,0.18518518036351175,0.005864700246056765
14,normal_large,2500,0.9545454491219008,0.2538653219757148
14,normal_medium,1000,0.9767441805949162,0.2674175928835733
14,normal_small,300,0.9268292628435455,0.2353695630891011
15,minority_highquality,200,0.645161285244537,0.23781610267554928
15,corrupted,1000,0.30107526400739976,0.02103695444671096
15,normal_large,2500,0.6764705830536333,0.26124464321960766
15,normal_medium,1000,0.6478873187621504,0.24170920834737145
15,normal_small,300,0.6153846102532545,0.23819309131076072
16,minority_highquality,200,0.6769230721420119,0.2069873220471989
16,corrupted,1000,0.3486238484100665,0.016823454795384656
16,normal_large,2500,0.72499999483125,0.24112543235960937
16,normal_medium,1000,0.6756756705843682,0.2774241970739764
16,normal_small,300,0.6857142807183674,0.2576395937238307
17,minority_highquality,200,0.6101694868371158,0.22317293332035984
17,corrupted,1000,0.27722771797666906,0.012785445262217185
17,normal_large,2500,0.7272727220846686,0.20888717094818865
17,normal_medium,1000,0.6666666615584962,0.2682519566989402
17,normal_small,300,0.6461538411550296,0.28690249377029414
18,minority_highquality,200,0.5538461488757397,0.21123301847426207
18,corrupted,1000,0.31683167836486625,0.018872083504914924
18,normal_large,2500,0.7160493775461059,0.24981285169982204
18,normal_medium,1000,0.7042253469629043,0.2646349459816636
18,normal_small,300,0.626865666589441,0.2554471003393375
19,minority_highquality,200,0.5797101401386264,0.26454961173070185
19,corrupted,1000,0.38596490747306866,0.022045013105511845
19,normal_large,2500,0.61333332832,0.20350437192762152
19,normal_medium,1000,0.6388888839583334,0.2400658636337765
19,normal_small,300,0.5753424608069055,0.26983513960238825
