rep,target,SHD,F1,Precision,Recall
0,base_dag,18,0.7272727222176308,0.8888888885596707,0.6153846152268244
0,union,18,0.7272727222176308,0.8888888885596707,0.6153846152268244
0,intersection,20,0.6428571376339286,0.666666666419753,0.6206896549583829
0,prevalence50,18,0.7272727222176308,0.8888888885596707,0.6153846152268244
1,base_dag,9,0.8524590111152915,0.8666666663777778,0.8387096771488033
1,union,9,0.8524590111152915,0.8666666663777778,0.8387096771488033
1,intersection,16,0.6923076871597633,0.5999999998,0.8181818178099173
1,prevalence50,9,0.8524590111152915,0.8666666663777778,0.8387096771488033
2,base_dag,46,0.43902438610053546,0.7826086953119092,0.3050847457110026
2,union,46,0.43902438610053546,0.7826086953119092,0.3050847457110026
2,intersection,39,0.39999999530414204,0.5652173910586011,0.3095238094501134
2,prevalence50,45,0.44444444026825186,0.7826086953119092,0.31034482753269915
3,base_dag,37,0.5647058774698962,0.7272727270523416,0.4615384614497041
3,union,37,0.5647058774698962,0.7272727270523416,0.4615384614497041
3,intersection,31,0.563380276556239,0.6060606058769513,0.5263157893351801
3,prevalence50,37,0.5647058774698962,0.7272727270523416,0.4615384614497041
4,base_dag,16,0.7777777727006174,0.9333333330222222,0.6666666665079365
4,union,16,0.7777777727006174,0.9333333330222222,0.6666666665079365
4,intersection,19,0.698412693202318,0.7333333330888888,0.6666666664646465
4,prevalence50,16,0.7777777727006174,0.9333333330222222,0.6666666665079365
5,base_dag,30,0.6052631527493075,0.6388888887114197,0.5749999998562499
5,union,30,0.6052631527493075,0.6388888887114197,0.5749999998562499
5,intersection,35,0.47761193518378253,0.4444444443209876,0.5161290320915712
5,prevalence50,30,0.6052631527493075,0.6388888887114197,0.5749999998562499
6,base_dag,7,0.892307687043787,0.9354838706659729,0.8529411762197232
6,union,7,0.892307687043787,0.9354838706659729,0.8529411762197232
6,intersection,13,0.7719298193290245,0.7096774191259105,0.8461538458284024
6,prevalence50,6,0.9062499947216798,0.9354838706659729,0.8787878785215794
