experiment_family,scenario_id,replicate_id,method,sepset_aggregation,weighting,evaluation_unit,evaluation_target,corruption_fraction,corrupted_client_ids,p,N,K,tau,edge_prob,ell,noise_regime,mechanism_shift,deletion_probability,alpha,sep_tau_factor,master_seed,replicate_seed,client_seeds,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,communication_bytes,client_weights,n_sepset_pairs_retained,runtime_sum,runtime_parallel_est,server_runtime,n_clients_timed,note
factorial_ablation,corruption0.0_2b13c41e0b,2,agg_consensus,on,consensus,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,1767936607,"[3670685844, 2091892296, 25523173, 1769219141, 1601271531]",26,0.5806451567325703,0.89999999955,0.4285714284693877,11,0.7272727266115702,0.190476190430839,0.30188678904948385,610.625,"[0.20973869912351223, 0.20273125821749435, 0.1916370882923, 0.20730401521381106, 0.18858893915288238]",344,23.21786093711853,5.137968301773071,0.003306865692138672,5,
factorial_ablation,corruption0.0_2b13c41e0b,2,agg_oracle,on,oracle,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,1767936607,"[3670685844, 2091892296, 25523173, 1769219141, 1601271531]",26,0.5806451567325703,0.89999999955,0.4285714284693877,11,0.7272727266115702,0.190476190430839,0.30188678904948385,610.625,"[0.1882367330059324, 0.199012967638807, 0.22311488433242807, 0.1927452373910188, 0.19689017763181374]",344,23.217841386795044,5.137948751449585,0.0032873153686523438,5,"ablation only -- requires ground truth, not deployable"
factorial_ablation,corruption0.0_2b13c41e0b,3,no_agg_equal,off,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3089955875,"[274783576, 2392250799, 2986905346, 3231580389, 2800411278]",25,0.5901639296210696,0.8181818178099173,0.46153846142011834,0,0.0,0.0,0.0,473.125,"[0.2, 0.2, 0.2, 0.2, 0.2]",0,20.12281560897827,4.452369451522827,0.0005793571472167969,5,"Dir_F1=0 BY CONSTRUCTION -- no Sepsets aggregated/passed to orientation; definitional, not empirical evidence about weighting."
factorial_ablation,corruption0.0_2b13c41e0b,3,agg_equal,on,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3089955875,"[274783576, 2392250799, 2986905346, 3231580389, 2800411278]",25,0.5901639296210696,0.8181818178099173,0.46153846142011834,19,0.5789473681163435,0.2820512819789612,0.3793103402913199,473.125,"[0.2, 0.2, 0.2, 0.2, 0.2]",338,20.12626552581787,4.455819368362427,0.004029273986816406,5,
factorial_ablation,corruption0.0_2b13c41e0b,3,agg_consensus,on,consensus,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3089955875,"[274783576, 2392250799, 2986905346, 3231580389, 2800411278]",25,0.5901639296210696,0.8181818178099173,0.46153846142011834,19,0.5789473681163435,0.2820512819789612,0.3793103402913199,473.125,"[0.23293252644644122, 0.22235091392697606, 0.19028600431687845, 0.19167176024024624, 0.1627587950694581]",338,20.125879526138306,4.455433368682861,0.0036432743072509766,5,
factorial_ablation,corruption0.0_2b13c41e0b,3,agg_oracle,on,oracle,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3089955875,"[274783576, 2392250799, 2986905346, 3231580389, 2800411278]",25,0.5901639296210696,0.8181818178099173,0.46153846142011834,19,0.5789473681163435,0.2820512819789612,0.3793103402913199,473.125,"[0.1822220566118545, 0.21788042094018537, 0.20467867220972563, 0.20467867220972563, 0.19054017802850878]",338,20.125959157943726,4.455513000488281,0.0037229061126708984,5,"ablation only -- requires ground truth, not deployable"
factorial_ablation,corruption0.0_2b13c41e0b,4,no_agg_equal,off,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,723854820,"[1833111991, 2720567266, 738972658, 884514601, 1880296044]",16,0.7241379260761,0.9545454541115702,0.5833333331712963,0,0.0,0.0,0.0,566.875,"[0.2, 0.2, 0.2, 0.2, 0.2]",0,18.056490659713745,3.8732502460479736,0.0005495548248291016,5,"Dir_F1=0 BY CONSTRUCTION -- no Sepsets aggregated/passed to orientation; definitional, not empirical evidence about weighting."
factorial_ablation,corruption0.0_2b13c41e0b,4,agg_equal,on,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,723854820,"[1833111991, 2720567266, 738972658, 884514601, 1880296044]",16,0.7241379260761,0.9545454541115702,0.5833333331712963,17,0.5882352937716263,0.2777777777006173,0.3773584860662158,566.875,"[0.2, 0.2, 0.2, 0.2, 0.2]",338,18.059543132781982,3.876302719116211,0.0036020278930664062,5,
factorial_ablation,corruption0.0_2b13c41e0b,4,agg_consensus,on,consensus,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,723854820,"[1833111991, 2720567266, 738972658, 884514601, 1880296044]",16,0.7241379260761,0.9545454541115702,0.5833333331712963,17,0.5882352937716263,0.2777777777006173,0.3773584860662158,566.875,"[0.21048717612139903, 0.21137838582132218, 0.19070366032511113, 0.20794075437976225, 0.17949002335240544]",338,18.05975031852722,3.87650990486145,0.003809213638305664,5,
factorial_ablation,corruption0.0_2b13c41e0b,4,agg_oracle,on,oracle,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,723854820,"[1833111991, 2720567266, 738972658, 884514601, 1880296044]",16,0.7241379260761,0.9545454541115702,0.5833333331712963,17,0.5882352937716263,0.2777777777006173,0.3773584860662158,566.875,"[0.21221115026791224, 0.19432810624657232, 0.22439921879627378, 0.18768490397004928, 0.18137662071919242]",338,18.05934166908264,3.87610125541687,0.003400564193725586,5,"ablation only -- requires ground truth, not deployable"
factorial_ablation,corruption0.0_2b13c41e0b,5,no_agg_equal,off,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,486301891,"[3859127411, 882359256, 2299706374, 1503107002, 2381576513]",10,0.8387096722320501,0.96296296260631,0.742857142644898,0,0.0,0.0,0.0,401.25,"[0.2, 0.2, 0.2, 0.2, 0.2]",0,16.436352252960205,3.462583065032959,0.0006618499755859375,5,"Dir_F1=0 BY CONSTRUCTION -- no Sepsets aggregated/passed to orientation; definitional, not empirical evidence about weighting."
factorial_ablation,corruption0.0_2b13c41e0b,5,agg_equal,on,equal,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,486301891,"[3859127411, 882359256, 2299706374, 1503107002, 2381576513]",10,0.8387096722320501,0.96296296260631,0.742857142644898,24,0.9583333329340278,0.657142856955102,0.7796610118586612,401.25,"[0.2, 0.2, 0.2, 0.2, 0.2]",328,16.440224647521973,3.4664554595947266,0.004534244537353516,5,
factorial_ablation,corruption0.0_2b13c41e0b,5,agg_consensus,on,consensus,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,486301891,"[3859127411, 882359256, 2299706374, 1503107002, 2381576513]",10,0.8387096722320501,0.96296296260631,0.742857142644898,24,0.9583333329340278,0.657142856955102,0.7796610118586612,401.25,"[0.17127223259877172, 0.21790913506092968, 0.21436235178793692, 0.1820939287644246, 0.21436235178793692]",328,16.440006494522095,3.4662373065948486,0.004316091537475586,5,
factorial_ablation,corruption0.0_2b13c41e0b,5,agg_oracle,on,oracle,global_graph,true_dag,0.0,[],20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,486301891,"[3859127411, 882359256, 2299706374, 1503107002, 2381576513]",10,0.8387096722320501,0.96296296260631,0.742857142644898,24,0.9583333329340278,0.657142856955102,0.7796610118586612,401.25,"[0.17086251494687996, 0.2070468976345543, 0.21389096336928495, 0.19430866067999583, 0.21389096336928495]",328,16.439427852630615,3.465658664703369,0.0037374496459960938,5,"ablation only -- requires ground truth, not deployable"
