scenario_id,replicate_id,method,evaluation_unit,evaluation_target,p,N,K,tau,edge_prob,ell,noise_regime,mechanism_shift,deletion_probability,alpha,sep_tau_factor,master_seed,replicate_seed,client_seeds,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,communication_bytes,runtime_sum,runtime_parallel_est,server_runtime,n_clients_timed,client_weights,note,n_sepset_pairs_retained
scale_p20_2b13c41e0b,2,local,mean_local_graph,true_dag,20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3230817949,"[3115823285, 2663721065, 3596855190, 2526056277, 359831757]",34.4,0.5422549478534011,0.8097188154834518,0.4079999999184,0,0.0,0.0,0.34178403337835805,745.0,37.73867321014404,8.037500143051147,0.006841421127319336,5,,,
scale_p20_2b13c41e0b,2,naive,global_graph,true_dag,20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3230817949,"[3115823285, 2663721065, 3596855190, 2526056277, 359831757]",34.0,0.5405405360116875,0.8333333329861111,0.39999999992,0,0.0,0.0,0.0,745.0,37.732319831848145,8.031146764755249,0.00048804283142089844,5,"[0.2, 0.2, 0.2, 0.2, 0.2]","n_oriented=0 / Dir_F1=0 BY CONSTRUCTION (no Sepsets passed to orientation) -- definitional, not independent evidence of a weighting effect; see factorial ablation for that comparison.",
scale_p20_2b13c41e0b,2,fedpc_consensus,global_graph,true_dag,20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3230817949,"[3115823285, 2663721065, 3596855190, 2526056277, 359831757]",34.0,0.5405405360116875,0.8333333329861111,0.39999999992,18,0.5555555552469136,0.19999999996,0.2941176430795848,745.0,37.73637413978577,8.035201072692871,0.004542350769042969,5,"[0.19895512088378356, 0.21561679831445704, 0.19924924819194414, 0.22051978614768714, 0.16565904646212826]",,336.0
scale_p20_2b13c41e0b,2,fedpc_oracle,global_graph,true_dag,20,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3230817949,"[3115823285, 2663721065, 3596855190, 2526056277, 359831757]",34.0,0.5405405360116875,0.8333333329861111,0.39999999992,18,0.5555555552469136,0.19999999996,0.2941176430795848,745.0,37.7356858253479,8.034512758255005,0.003854036331176758,5,"[0.19326411241949065, 0.19326411241949065, 0.2218593128910563, 0.18410909096880484, 0.20750337130115765]","ablation only -- requires ground truth, not deployable",336.0
scale_p30_845b4d4967,0,centralized,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3506578013,"[2297140385, 453023020, 3494972598, 2670446428, 2385017689]",52.0,0.6176470539446368,0.7777777776337449,0.5121951218887567,44,0.6363636362190083,0.3414634145925045,0.44444443982867227,0.0,237.7963535785675,237.7963535785675,0.0,1,,,
scale_p30_845b4d4967,0,local,mean_local_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3506578013,"[2297140385, 453023020, 3494972598, 2670446428, 2385017689]",55.2,0.5533308920294887,0.8233958878954007,0.4170731706808447,0,0.0,0.0,0.3344245537134224,1300.0,63.29278516769409,14.098764419555664,0.014362573623657227,5,,,
scale_p30_845b4d4967,0,naive,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3506578013,"[2297140385, 453023020, 3494972598, 2670446428, 2385017689]",54.0,0.5645161244614985,0.8333333331349206,0.4268292682406306,0,0.0,0.0,0.0,1300.0,63.27920866012573,14.085187911987305,0.0007860660552978516,5,"[0.2, 0.2, 0.2, 0.2, 0.2]","n_oriented=0 / Dir_F1=0 BY CONSTRUCTION (no Sepsets passed to orientation) -- definitional, not independent evidence of a weighting effect; see factorial ablation for that comparison.",
scale_p30_845b4d4967,0,fedpc_consensus,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3506578013,"[2297140385, 453023020, 3494972598, 2670446428, 2385017689]",54.0,0.5645161244614985,0.8333333331349206,0.4268292682406306,32,0.5937499998144531,0.23170731704491376,0.33333332923668824,1300.0,63.28742265701294,14.093401908874512,0.009000062942504883,5,"[0.19511185698413477, 0.21491450612987245, 0.18580684560479394, 0.2024414841903205, 0.20172530709087844]",,798.0
scale_p30_845b4d4967,0,fedpc_oracle,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3506578013,"[2297140385, 453023020, 3494972598, 2670446428, 2385017689]",54.0,0.5645161244614985,0.8333333331349206,0.4268292682406306,32,0.5937499998144531,0.23170731704491376,0.33333332923668824,1300.0,63.287689208984375,14.093668460845947,0.00926661491394043,5,"[0.19625243362786862, 0.19625243362786862, 0.19825732121111472, 0.18562567749372413, 0.223612134039424]","ablation only -- requires ground truth, not deployable",798.0
scale_p30_845b4d4967,1,centralized,global_graph,true_dag,30,5000,5,0.5,0.2,2,mild,False,0.07,0.05,0.5,42,3678894355,"[1886932286, 234938927, 2563486251, 1677718366, 228410887]",67.0,0.5037036990902607,0.7234042551652331,0.3863636363197314,42,0.47619047607709747,0.22727272724690084,0.307692303271006,0.0,316.39949011802673,316.39949011802673,0.0,1,,,
